Date,Menu,Meal
6/3/2013,"Meatballs on a Bun
Whole Grain Corn Dog
Pepperoni and Cheese Pizza
Chicken Taco Salad with Tortilla Chips",lunch
6/4/2013,"Beefy Macaroni
Chicken Nuggets with Biscuit
Yogurt with String Cheese & Graham Crackers
Turkey Ham & Cheese Sandwich",lunch
6/5/2013,"Chicken & Cheese Quesadilla
Turkey Hot Dog with Potatoes
Peanut Butter & Jelly Sandwich
Chicken Caesar Salad with Roll",lunch
6/6/2013,"Beef Soft Tacos
Cheeseburger
Bean & Cheese Burrito
Turkey & Cheese Sandwich",lunch
6/7/2013,"[Early Dismissal]
Brown Bag Day",lunch
