Date,Menu,Meal
11/26/2012,"French Toast Sticks & Sausage
Chicken Patty on Whole Wheat Bun
Grilled Cheese on Whole Wheat*
Yogurt Parfait & Graham Crackers*
Peanut Butter or Sun Butter & Jelly on Whole Wheat Bread*",lunch
11/27/2012,"Rib b que on a Bun Cheeseburger on Whole Wheat Bun
Turkey Sandwich on Whole Wheat Bun
Italian Dunkers & Marinara Sauce*
Beef Taco Salad & Tortilla Chips",lunch
11/28/2012,"Beef Soft Tacos on Whole Wheat Tortillas Turkey Hot Dog on a Bun Cheese* or Pepperoni Pizza on Whole Grain Crust American Combo on Whole Wheat Bread
Crispy Chicken Salad & Wheat Dinner Roll",lunch
11/29/2012,"Half Turkey Ham & Cheese Sandwich & Sunflower Kernels
Chicken Tenders Bean & Cheese Tostada Bowl*
Yogurt & String Cheese w/Graham Crackers* Chicken Caesar Salad & Wheat Dinner Roll",lunch
11/30/2012,"Chicken Alfredo & Whole Wheat Pasta Hamburger on Whole Wheat Bun
Cheese* or Pepperoni Pizza on Whole Grain Crust Turkey & Cheese on Whole Wheat Bread
Taco Salad with Beans*",lunch
